doc_id,text,sentiment
11,"good food good time bring plastic mug cooler sun screen place great check,",positive
12,"tapatio cliffs wonderful, staff encountered helpful friendly, easy check check, looking true suite not just room divided half wall gives no privacy, hilton knew right, 3 rooms divided doors privacy great traveling children snorers, entered living room couch bed, room vanity closed doors toilet bathtub, continued large bedroom balcony, beds super comfortable, asked room service additional towels lotions etc. no problem all.the casual mexican restaurant property good cheaper upscale restaurants forget beautiful fireplace good meal, drinks not best night went.the downside staying tapatio cliffs, not close shopping museums, perfect quiet getaway want best rent car, used towncar service night rates slightly higher cab cozy super expensive, hotel does provide shuttle 9.00 closest upscale mall schedule i.e, leave hotel 11:30 a.m. return 3:15 p.m. provide shuttle service onsite rooms restaurants came handy 30 degree temperatures night, just prepared tip.all lived hilton, extremely happy room, time phoenix winter outside freezing central heat worked great not cold inside,",positive
13,"loved, stayed 5 nights n't fault place, location excellent check easy staff attentive attention second none, recommend jurys boston 100 use hotel return boston future,",positive
14,"n't believe bad review hotel, 2nd time resort, food service staff great, beach die rooms spotless, read reviews remember people hard, reviews good true, people forget change food alot sun good drinks day cause sick feel like crap, blame resort, oh people say poor country appalled islands poor, homework, dominicans nice people, dominican 6 times past 6 years sick slow day, love iberostar chain, year like try ibero costa dorada, reviews good resort, ibero la romana hacienda dominicus love, slow enjoy,",positive
15,"wonderful hotel just got spending 2 weeks kuta lagoon nothing whatsoever wrong hotel, problem guests loudness, like relax away busy street place hand guests decided party location advertised queit away, staff know days perfect place relax busy day shopping, hotel spa not best recommend secert garden spa just corner, fantastic trip staying kuta lagoon year, really friendlly place,",positive
16,"fine hotel good location good example big city marriott act, exceptionally well-run well-maintained facility, clean comfortable rooms attractive public areas excellent restaurant friendly helpful knowledgeable staff, tad pricey major hotel major city, prices certainly n't line compared comparable hotels comparable cities, especially given prime location adjacent eaton centre walking distance easy subway taxi commute major tourist attractions,",positive
17,"fantastic gem price stayed palms 5 nights early april excellent, arrived room waiting upgraded balcony room peek view diamond head, not plush hotel say comparable hampton inn mainland, complained small breakfast seconds thirds wanted, room clean quiet, breakfast consisted different juices coffee muffins croissants assorted fruit, certainly started, say coffee terribly strong unless like way stay away coffee, no restaurant palms 10 discount diner door truly diner not liking service certainly quick, elevators not slow stated, proceeding cruise 11 days needed laundry machines dryers easily accessible dryers efficient dried load use twice like machines require, soap dispenser soap reported 5 minutes came choice soap offered explain use machines, did n't need, 4 washers 4 dryers told virtually no uses, hawaii unless absolutely necessary laundry managers reception wonderful time meet wine entertainment free massage fantastic, stated walking distance did n't want walk bus stop street hilton, did n't rent car did not feel loss, fact locals n't cars use bus system.when leaving called taxi pleasant kind definitely stay, oh yes cookies absolutely fabulous,",positive
18,"family friendly loads character stayed argonaut week april 2004. fresh new greatly enhanced stay fabulous time, room huge comfortable, aveda products bathroom, room service comprehensive expensive just easy downstairs excellent blue mermaid restaurant great chowders children menu, decor little bit disney-esque good quality offset exposed brick walls works, hotel bags character quite unique faceless big hotels sf, argonaut child friendly year old son feel welcome, staff exception dazzlingly helpful professional really got impression proud argonaut, valet parking pricey convenient time took car charge taken asking location perfect exploring city noisy parts fisherman wharf tacky easy reach, maybe time gloss fade little argonaut furnishings bit tattier staff jaded love time maintain momentum, not recommend hotel highly especially children tow,",positive
19,"best place relaxing holidays think london bridge hotel best hotel town, friendly hotel good location, comfortable rooms tea coffee facilities, excellent breakfast fantastic atmosphere, recommend hotel doubt,",positive
20,"great stayed hotel vitale night month mother, thought absolutely great, arrived early 11 a.m. gave room promptly despite premature arrival, beds comfortable location perfect, bar downstairs perfect evening cocktail enjoy lovely weather, definitely return,",positive
21,"great place-lives reputation, 11-year old son stayed hotel davanzati nights early december 2008. chose location free use internet laptop great reviews site, experience place great, fabrizio tommaso family staff friendly feel right home, room steps lobby, large room twin beds sofa armoire desk laptop playstation 2 large bathroom full-size bathtub not just shower stall, room mini bar did not use safe, liked no carpet floor, cold just freezing room stayed warm steam radiators, kept shutters closed helped cold, room quiet despite facing summer bit louder pedestrian traffic night, white noise machines rooms used problem, breakfast continental delicious cappucinos pastries rolls, son loved chocolate breakfast cake home hot chocolate, evening happy hour cocktails great, nice relax glass prosecco, location convenient everything-shopping restaurants museums arno, loved middle, stayed apartment rome near tiber guila quiet not convenient sights, ate block la bussola fabrizio recommendation, good went second visit lucky florence head hotel davanzati, regards middle east fabrizio tommaso thanks wonderful stay,",positive
22,"fantastic service travel agent booking hotels world fussy, hotel offers customer service best, great location great service nothing bother, rooms great cheaper known names frankly far better, stay treat staff really genuinely care, continue book clients gives great satisfaction offer outstanding property,",positive
23,"love hotel stay 4 days lovely hotel staff nice helpful, room clean huge, closed museum far night life easy,",positive
24,"chic hotel jewel hotel chic beautifully decorated great location minute walk oxford street nearest tube, staff helpful friendly nothing trouble, loved roses chocolates dotted hotel, cant just wander street outside door opened room keycard reception great security, felt safe walking outside hotel handy local pub couple doors away visited theatre felt welcome, triple room ideal friends bit tight staying weekend, breakfast buffet hot nice, deifintely stay,",positive
25,"absolutely lovely, place truly heaven atmosphere stunning people amazing, stayed 3rd 5th feb wonderful memories, service personal ca n't help smiling remembering, damai located nicely hill, fantastic views overlooking sea, meal fantastic, tasted beautiful creative tasty food, 10 stars, good work, boss damai look employees bestest workers seen cleaners service staff supervisor contract workers working construction site, absolutely fabulous,",positive
26,"fantastic hotel stay personal attention banks mansion fantastic hotel stay, staff exceptionally helpful speak great english, free mini bar bedrooms bar reception area array snacks excellent feature hotel not abused hotel guests stay, breakfast wonderful freshly prepared cooked desired.the staff aim delighted book recommend local restaurants tours enjoy stay, het tuynhuys restuarant offering taster menu dishes memornable dinners experienced booked recommended banks mansion staff.definately place come, hotel central walking distance attractions, husband delighted late valentine present booked enjoy looks forward returning banks mansion later year,",positive
27,"great place, little hotel real gem, 5 minutes walk bus station airport shuttle 3 euros way, 2 minutes walk train station nearest vaporetto, hotel brilliantly placed exploring venice constant bustle central attractions, room beautifully appointed georgeous fully functional bathroom, breakfast small surcharge varied fresh great start day, makes hotel special staff, unfailingly friendly polite helpful, feel special cearly pleased chosen antiche figure, stayed hotels, despite size best hotels stayed, want really comfortable accessible friendly place stay not better, spent hours readng reviews picked hotel, save effort worry, just book, return venice stay antiche figure,",positive
28,"jurys hit stayed 2 nights business vacation, ca n't wait back.i impressed ammenities huge plush cotton towels aveda toiletries comforter pillows comfy bed nice robes umbrella closet, gorgeous fabrics furnishings, room small luxurious appointments, highly recommend waffles breakfast think best recommend trying hotel,",positive
29,"3rd visit stay orchard, great location friendly helpful staff, clean modern decorated rooms,",positive
30,"loved secrets boyfriend went apple vacations secrets excellence punta cana, absolutely beautiful, left reading alot reviews kindof nervous, not sure people giving resort bad reviews, people friendly little spanish helps, simple things like hello good night thank, wonderful time grounds absolutely beautiful food drinks good, went excursions outside resort, highly recommend outback safari tour guides great learn dominic, highly recommend resort,",positive
31,"excellent hotel just 6 night stay hotel la ville central florence, junior suite facing street suite 301, excellent size pull couch enormous bathroom, ceilings high lovely windows insulated noise street, reports site breakfasts true just excellent, staff hotel exceptional nothing, did arrange tickets uffizi gallery premium warned make money booking things, cocktail hour hotel bar good deal selection sandwiches nuts accompany drink, house chianti good choice, tip excellent restaurant try trattoria magione della spada 27r turn right hotel walk tournaboli della spada turn right 50 metres left hand, excellent local restaurant packed time local tourists, ribolita soup excellent steaks pork chops served excellent roasted vegatables, coming, overall hotel la ville nice comfortable service driven 4 star hotel great base explore florence, ciao,",positive
32,"excellent experience hotel great alternative expensive rooms city center just three-minute walk rai train station, buy day pass metro line save money accommodations, convenient to/from schipol airport rail, able good rate bidding online easter week no business travelers upgraded executive suite upper floors, really nice room great view comfortable beds ultra clean, amenities expect good business-class hotel, drawback nearest area restaurants 15 minute walk, quick train town dinner, quite happy hotel better typical holiday inn states.note tourists want check convention town booking hotel caters primarily nearby rai convention center, probably better deals weekends holidays,",positive
33,"excellent hotel friendly staff weekend, fabulous weekend, partner booked hotel 21st birtday not city centre pleasant friendly relaxing, great walk tourist destinations passing lots local shops way.my partner requested flowers room arrival flowers presented beatifuly vase, hotel staff helpful telling places showing map booking reservations dinner taxi destinations, rooms clean needed fantastic weekend, recommend hotel love stay,",positive
34,"secrets excellence just secrets 2 days ago, say.for people posted reviews hotel excellent stayed different hotel.every aspect hotel superb reception room pools beach restaurant bars disco spa grounds, staff better speak great english ca n't you.just secrets best holiday have.every spoke whilst agreed fantastic,",positive
35,"great location wo n't regret booking hotel want know silver just visit homepage hotelsilver no pictures desrciptions not true.the hotel just hop away metrostation fontana therfore relevant sights barcelona easy access.we booked business newly refurbished room upgrade business terrace room arrival just 6 euros, room excellent, not roomy adequate, terrace kitchenette perfect combination, cup tea coffee outside pj wake stated beds close, travel friend make sure like close, travel partner beds n't booking hotel.make sure bring teabags instant coffee coffeemate nothing provided hotel.next time barcelona hope time city, definitely book silver,",positive
36,"welcoming owners ex- travel agent aware importance research, trip advisor tool used place work continue access personal travel arrangements.the hotel privilege hotels considering know correct choice, easy ascertain location facilities hotel not easy gauge customer service, exemplary entire stay faultless, intend return florence undoubtedly book stay priviege, high expectations accommodation fortunate stay world class hotels, hotel does n't charge offer 5 star status wish convey opinion customer service certainly worthy rating, away regardless cost expect clean room comfortable bed soft towels, size room relevant depending individual situations, privilege rooms not huge certainly not small site-seeing n't rooms sleep, fixtures fittings breakfast certainly surpassed expectations, experience really defined word hospitality, compared cities rome venice seville dublin munich countless far best value city break experienced,",positive
37,"facelift renovation did unbelievable true famous hotel town renovation, times hotel luxury historical quiet sleep open windows frankfurt city airport, time kempinski hotel frankfurt not believe eyes new nice did renovation year, recommend place, business nice transfer limousine town airport meeting great having pause, great delicious,",positive
38,"majestic magnificent, researching planing reading reviews property anticipating ca n't believe visit home write review try not duplicate said beautiful property special thank richard, wonderful gentle individual true word says let know make stay enjoyable, goes, not know does, responding questions forums updating web site guests favorite expression come smile, know, staff incredible, chambermaids grounds people wait staff simple hola bring warmest smile start day positive note staff constantly working, painting light fixture walls lobby raking beach stop, wait staff various restaurants fantastic, special note thanks jenny, way make day special, great spanish lessons wife true items not labled buffet ask item staff happy let know fortunate able reservations japanese gourmet unique delicious favorite steak house visited twice try chateaubriand second time sirloin, fantastic pool beach beautiful, honesty harder lounge shade pool ocean evening shows fun enjoyable, favorite african beach, dancing costumes treat yes majestic lives summary, heart beat, just wait new sister hotel open fall suppose better,",positive
39,"excellent, hotel fantastic room bathroom large clean wonderfully peaceful location, owner helpful, want stay money room location wo n't better hotel.highly recommend,",positive
40,"highly recommended stayed lorenzo il magnifico 3 nights august 2004. standard accommodation excellent staff extremely helpful extent sent takeaway pizza behalf wife feeling unwell, considering accommodation florence expensive felt hotel represented good value money, location quiet town easy reach city centre public transport, definitely stay hotel,",positive
41,"sunscape spectacular, august 2002 heard read reviews sunscape 95 raves negatives expected, no doubt mind sunscape niche resort industry rehabbing smaller compact resorts americanizing north american trade, vacationing british gentleman resort said came sunscape americans higher standards, reason booking sunscape not americanized not mega sprawling resort, twice casadel mar la romana particular reason called sunscape casa del mar..yipee.. people met avoid larger chains require trams jitneys long walks place place, times past city santo domingo puerto platta hated..lol, twice, casa del mar romana years catalonia bavaro liked sprawling resort, n't strangers dominican republic expectations newer inclusives homework way ahead time booking resort, let tell incredible experience sunscape punta cana, rod gahr general manager sunscape gone hotel restaurant management school told ca n't want, result working way learned guests really want, hands person available guests loads luggage guests depart thanks, walks giving red gummy bears guests staff alike.. rod does n't hide locked door.arrival sunday february 9th 12:45 p.m. greeted s miles welcomes frontdesk staff reported true warm chocolate chip cookies rum punch caren director public relations adding rum wanted, people gwv group received rooms immediately, told rooms ready 2:00 p.m. went lunch windows drink, o'clock arrived everybody received room told great room prepared wait 3:00 p.m. 3:00 a.m. not happy camper, happened talk jessica guest relations person promptly talked desk assured room ready minutes jessica, booking room asked second floor king sized bed, taken judged wonderful locat ion building 3 room 3220 overlooked pool beach, new mahogany poster king sized bed swans towels flowers furniture represented mahogany wood d.r, famous, bathroom huge white fluffy towels lo behold not not facecloths amenities large week sized shampoos conditioner bath gel, times resorts bring face cloths, bring shampoo conditioner bath gel rule, large balcony sturdy pull clothes dryer bring clothespins liquidsoap yes great start, sunday night 7:30 headed da mario, people waiting outside names, asked long wait young man told coming checking, read n ot sunscape way, headed tex-mex restaurant ribs delicious, monday early read chairs shade hard come lucked chairs shade palapas taken 7:00 a.m. mid-morning spotted rod gahr johny mendez food beverage manager walking, early morning, not bashful type told far concerned like moved catalonia bavaro road quite unhappy told, turned mr. mendez food beverage manager told care problem damario apologized profusely inconvenience long wait room, guaranteed love resort evening received lovely fruit platter personal letter apology proper way handle unhappy guest, rest week filled pleasant suprises expectations..things happened seen 4 star resort let tell, pool area pool divided woodenbridge deeper activepool bar little kiddies pool actually used, activities palapa withthe towels bulletin boards noting activities evening movies, problem replacing towels probably took dirty ones room replaced a.m. pool sat 8:00 a.m. 4:30 p.m. going, music not loud obtrusive places, usual volley ball wateraerobics kayak fights dance lessons spanish lessons step aerobics, large yellow floats, pool a.m. morning noticed children hoarding floats chaises.. n't know somebody staff nicely heard ask children use pool did, adults children alike took turns sharing floats problem..nice family type resort children wonderful playing new friends, little girl holland included american british girls hand gestures happy quartet, heard girl thank friends week n't sweet, children knew families paulina doing kids stuff morning volley ball game pool treasure hunt team came t-shirts, afterno, o n noticed little fake dominican hut beingput decorated palms, brought coconuts coconut party pool, broke open filled coco loco drink caren add rum wanted, dominican dancers provide entertainment dance guests lessons, plenty coconuts everybody enjoy wonderful event..one afternoon chocolate chip cookies passed day bars just steps away drinks served guests staff members, animation staff direction adrian gutierrez working particular draws praise..chookie hope ishow spelled day saw plus sized man start water exercises thought..wow hospital n't faraw, ay..surprise gave great work out..at 30 minutes faltered, day walked talking guests pool new guest little girl, chookie welcomed chuck chin brought smile, amazingly days later walked asked little girl amazing..tuesday fridays parrot men come pictures guests posing birds, parrot mom parrots quite anxious meet parrots learn came, eduardo photographer did not just old picture quite creative excellent photographer, told birds rent day taken care, reason adopted charming eduardo son, different photographer handler friday deal developed pictures sale showed difference, yes bought cute silly candid picture eduardo, tell negative pool area, want shade 7:00a.m, reserve spot, gentleman small baby little toddler explained needed shade, woman wheelchair palapa saved family, personally basal cell need shade early thing, day going determined sun reserve special spot, spot family baby used spot days left day, people respectful reserved spaces morning knew gone happened 5:45 pitch black building pool area groped way downstairs towels cover-ups reserve desired spot, moved lounges area bumping security guard coming going wonder thought, interesting spots, c overed towels early a.m. day day privately think know lips sealed, incident husband reserved chair wife near palapa 7:00a.m. developed sun poisoning, went chair pushed sun non-english speaking guests gestured knew nothing, chairs palapa towels guests met chairs pushed sun non-english speaking guest, understand people countries not require space felt right share space, sadly saved chaises not utilized late afternoon, woman told chair friends chair tree beach fate having items dumped people know knowing thing, managem, ent definitely aware ofthe problem mentioned cocktail party, problem not unique sunscape solution maybe easy, casa del mar pool huge canopies hold dozen chaises problem getting place shade, solution palapas installed canopies pool.. guests vacation not 6:00 7:00a.m, place shade, retired resent having rise hours earlier bit shade..another request heard guests additional ladders sides pool, set steps, ladder bar activities, small children needed boosts woman talked bad knees definite problem getti, n g outand needed assistance, beach n't know complaints beach little seaweed marina, boats added scenic beauty, walked beach daily allegro resort past returning way vendors, persistent telling just looking took, did buy look particular item helpful, vendors not self-employed work company puts booths prices tad higher need make money, pool beach wall young man hand painting t-shirts personalizing, kiddie playground slides, adult games available, restaurants windows day lunch windows unhappy, restaurant cavernous dark breakfast lunch t, joys winter vacation eating deck umbrella, no complaints food offered staff, tex-mex ate night great ribs, american grille dined sorry downstairs tex-mex restaurant building beach grille beach grille morning heard beach grille headed 8:00 a.m. sit overlooking beach umbrella, pure joy, regular breakfast menu able order fine lunch, waiter deserves special attention.. n't know remember hecomes puerto platta easily recognizable bald..very experienced delightful..he head waiter da mario, da mario spent time eating excellent food service, secret bef, o 6:45 usually arrived 6:30 6:15. food wonderful especially note mashed potatoes, got order grilled shrimp instead pasta requested mashed potatoes, food presentation service excellent, barely desserts did design spoon fork outlined cocoa powder touch surprises sets sunscape apart resorts managers cocktail party wednesday night manager cocktail party lobby, n't believe eyes saw rod personally passing appetizers adrian head animation team food beverage director chef, real champagne glasses bottles champagne flowed freely, cruise style rod introduced entire staff people scenes, included men responsible sa nitation cleanliness resort restaurants, rod proudly announced sunscape highest rating resort punta cana sanitation did n't hear anybody getting sick, plane woman told husband hospitalized night foodpoisoning mega resort..beach party early thursday morning staff started setting beach party evening, tables blue glassware candles white tablecloths, staff lovely arbor palm leaves enter area looked disbelief wonderment buffet tables set, cruise ships seen selection displays, wondered huge selection cheeses sorts items grilled like fish steaks, early morning enjoyed air balcony heard staff cleaning gi gantic effort food beverage manager johnny mendez staff man hours putting buffet having break clear tables chair clean beach morning herculean affair..pool party friday morning lo behold staff setting arbor pool area apool party incredible buffet, animation staff/shows evening great movies large screen kids adults alike, harry potter star wars scooby doo 102dalmations shreik, shows adults fun judged staff adult..the children asked come stage marched staff party, shows chiildren little shows fashion show..another movng hat.. seeing chookie try explain game children spoke languages funny, housekeeping long wait day card asking room immediately..and, morning forgot returned room not, possible constant coming goings guests week additional housekeeping personell added, grounds older resort bushes trees lush kept trimmed, staff having management team suncape obvious rest staff happycampers result reflect attitude guests,",positive
42,"big penny hong kong pure luxury spoils going worldeveryone friendly not helpful door staff manager, got priority seatting afternoon tea feel like royaltiy.pool world views spectacular.room service superlative experience.the suite class bath/room/shower room.overall truly wonderful memorable time,",positive
43,"5/5, stayed apollon montparnasse week paris business trip.i admit suprised warm welcome received standing room.the staff really helpful.my bedroom quite small nicely decorated clean appliances provided.the hotel located near convenient metro station.i surely stay trip paris,",positive
44,"stylish hotel, hotel absolutely lovely, style amazing single details, fountain entrance forget, room classic comfortable not large, te quality products breakfast high including automatic machine fresh orange squeeze, evening serve small appetizer bar like cheese vegetables chips special sauces, rossini cocktail tasty, don__Ç_é_ miss promotion dinner__Çî_t__Ç_é_ great value money, no bad staff everybody courteous friendly family, good place stay,",positive
45,"loved library, husband spent christmas married new york city, wonderful, daughter flight attendant grown traveling charge planning trip, researced library hotel, excited, read wonderful reviews teach high school english really thrilled theme hotel, website library hotel pictures true, arrived explored hotel just beautiful expected be.the staff wonderful breakfast great rooms clean decor truly liveable lovely, looked forward returning hotel end day, highly recommend hotel look forward returning soon.good luck trip plans, traveling couple atlanta,",positive
46,"great hotel experience moment arrived hotel time left not fault hotel tried, friendly approachable staff reasonable price star establishment booked flight package internet site impeccably styled rooms amazing egyptian cotton sheets, room service delight, pity winter rooftop pool question highly recommend hotel, situated little outside city centre 5mins walk away nearest tube station yellow line 4 10min central city 8min walk away large stylish shopping mall diagonale, definitely choose hotel barcelona,",positive
47,"impressed, impressed hotel, nice three-night four-day stay hyatt, nicely decorated rooms mini-suite adjoining double room clean staff friendly helpful, location great area walkable, kinds shopping areas restaurants surrounding hotel, stay 5-star hotels exclusively chose hotel based past reviews, actually stayed 5-star hotels not nice clean friendly staff hotel, pleasure hotel customers,",positive
48,"romantic stay hotel des grands hommes husband opportunity paris kids absolutely loved l'hotel des grands hommes, service great beautiful room given balcony overlooking pantheon, just gorgeous view, far montmartre clear day, closest metro rer luxembourg station couple blocks neighborhood great, breakfast service good lady charge think marina lovely, ok rooms bit small cares, paris, highly recommendable quite charming place,",positive
49,"excellent way hotel excellent..the area great shopping like reviews say 2 mins gran metro stop, got taxi airport cost 35 eur taxi driver got lost, metro airport 2 eur, hotel whacked different stayed, room small perfect, bar lovely tapas upmarket, place popular locals great sign, walked shops easily, thing wish book good restaurant place went fully booked, try spanish friend book, great place summer,",positive
50,"beautiful hotel buddies arrived new orleans long drive escape hurricanes florida, checked hotel greated gorgeous smiles best service experienced usa, thanks class service soon started relax enjoy, hopefully review encourage stay wonderful hotel sure good time do.by way locattion good prices reasonable too.special thankyou staff especially kristen alexis.lovejeromeandysteviemarkdaylo,",positive
51,"great time paradisus spa resort husband just returned wonderful week-long vacation paradisus resort spa dominican republic 16-23, like people booked trip went online read reviews worried, husband vacation 8 years marriage wanted perfect, impressed, resort beautiful well-kept not overwhelmingly large, thought food excellent, favourite place dinner italian restaurant lunch palapa grill, did n't chinese need long pants husband shorts, did did n't buffet right opening 7 food not hot later morning replenished, staff friendly attentive knew english managed just fine, did bring 1 bills tip saw fit, gym small resort not filled capacity, fransisco personal trainer friendly helpful, big baseball fan, resort lived 5 star rating, room clean worth upgrade royal service newly renovated room, 2 double beds instead king no big deal, say unpretentious willing relax enjoy immensly, bus ride bit long especially stop way opportune time dr people live inland real difference atmosphere resorts, certainly,",positive
52,"hotel service royal plaza scotts refurbishment september 2006 update apperance, stayed august 2006 4 nights prior cruise night, class faults queue breakfast buffet long 20 mins prices hotel bar quite high s15 killkenny beer seafoof buffett friday nights excellent s48 plus taxes service charges far expensibve opton available outside hotel,",positive
53,"delighted, reviews hotel brief.we absolutely loved stay cambridge suites hotel, staff delightful check quick accurate room fantastic got super rate cityscape upgraded suite location perfect like sushi world best sushi restaurant short walk corner nami sushi.also short walk away great breakfast restaurant eggspectation, outside eaton centre great shopping breakfast loved booked suite venture toronto birthday.a word rates checked travel websites plus hotel website called hotel reservations line, got best rate speaking directly extremely helpful courteous reservations agent anne.i interesting hotel website actually links reviews tripadvisor, know good hotel reviews not overrated new favourite place stay, not hesitate recommend hotel,",positive
