"Gender","Customer.Type","Age","Class","Flight.Distance","Inflight.wifi.service","Ease.of.Online.booking","Gate.location","Food.and.drink","Online.boarding","Seat.comfort","Inflight.entertainment","On.board.service","Baggage.handling","Checkin.service","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","satisfaction"
"Male","Loyal Customer",50,"Business",3477,2,2,2,3,4,5,4,4,4,4,0,0,"satisfied"
"Female","Loyal Customer",20,"Business",2475,4,1,1,3,4,4,3,2,3,4,0,10,"neutral or dissatisfied"
"Male","Loyal Customer",47,"Eco",954,4,4,3,4,4,4,4,4,3,3,8,2,"satisfied"
"Female","Loyal Customer",67,"Eco",919,2,2,3,5,4,3,3,3,4,1,4,5,"neutral or dissatisfied"
"Female","Loyal Customer",25,"Business",2238,2,3,3,2,2,2,2,4,3,4,10,9,"neutral or dissatisfied"
"Male","Loyal Customer",47,"Eco",163,5,5,5,5,5,5,5,1,5,5,0,0,"satisfied"
"Female","Loyal Customer",63,"Eco",954,3,4,4,1,4,3,3,3,3,2,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",42,"Business",296,2,2,2,2,5,4,5,5,5,4,4,1,"satisfied"
"Male","Loyal Customer",48,"Eco",213,2,3,3,2,2,2,2,3,1,1,0,0,"satisfied"
"Female","Loyal Customer",37,"Eco Plus",1400,2,1,4,4,1,4,4,2,5,2,41,64,"neutral or dissatisfied"
"Female","Loyal Customer",31,"Eco",163,4,4,2,5,4,4,5,5,5,5,26,32,"neutral or dissatisfied"
"Male","Loyal Customer",70,"Eco",529,2,2,4,4,2,4,4,5,5,3,101,76,"neutral or dissatisfied"
"Female","Loyal Customer",45,"Business",2647,3,3,3,5,5,5,4,4,4,3,12,0,"satisfied"
"Male","Loyal Customer",36,"Eco",569,4,5,5,4,4,4,4,5,4,4,0,0,"satisfied"
"Female","Loyal Customer",41,"Business",2727,2,2,2,4,4,3,2,2,2,4,1,0,"neutral or dissatisfied"
"Female","Loyal Customer",48,"Business",3857,3,3,3,2,2,2,3,3,3,3,0,10,"neutral or dissatisfied"
"Female","disloyal Customer",29,"Eco",541,2,2,3,5,2,5,5,4,3,2,31,28,"neutral or dissatisfied"
"Female","Loyal Customer",41,"Eco",620,1,2,2,1,1,1,1,3,2,2,0,25,"neutral or dissatisfied"
"Male","Loyal Customer",46,"Business",997,2,2,2,5,4,4,5,5,5,5,3,48,"satisfied"
"Female","disloyal Customer",23,"Business",777,0,0,5,3,0,3,3,3,5,5,0,0,"satisfied"
"Male","Loyal Customer",52,"Business",406,1,1,1,3,5,4,5,5,5,4,0,1,"satisfied"
"Male","Loyal Customer",19,"Business",3515,2,2,2,4,4,4,4,4,1,4,0,0,"satisfied"
"Male","Loyal Customer",43,"Eco",934,2,2,4,3,2,3,3,4,5,4,0,2,"neutral or dissatisfied"
"Male","Loyal Customer",10,"Eco",427,1,1,2,5,1,5,5,4,3,1,78,46,"neutral or dissatisfied"
"Male","Loyal Customer",45,"Eco",1744,3,3,4,4,3,4,4,1,4,2,43,52,"neutral or dissatisfied"
"Male","disloyal Customer",51,"Eco",469,3,3,3,4,3,4,4,5,1,5,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",65,"Eco",1620,1,1,4,4,4,4,1,1,1,5,4,0,"neutral or dissatisfied"
"Male","Loyal Customer",61,"Eco Plus",447,1,2,5,3,2,3,3,4,4,4,4,0,"neutral or dissatisfied"
"Male","Loyal Customer",40,"Business",2903,5,5,5,2,4,4,4,4,4,3,0,0,"satisfied"
"Female","Loyal Customer",65,"Eco",507,1,1,3,3,4,4,5,5,5,3,0,18,"neutral or dissatisfied"
"Male","Loyal Customer",8,"Eco",931,4,4,4,5,4,4,5,4,4,1,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",59,"Eco",417,3,3,2,2,3,2,2,4,3,3,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",63,"Business",3490,5,5,5,5,5,5,5,5,5,4,0,4,"satisfied"
"Male","disloyal Customer",39,"Eco",238,2,2,4,4,2,4,4,1,4,3,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",37,"Eco",102,4,5,5,4,5,4,4,5,2,4,0,0,"satisfied"
"Male","Loyal Customer",26,"Eco",283,2,2,2,2,2,2,2,4,5,4,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",39,"Business",2516,3,3,3,1,1,3,5,5,5,1,24,7,"satisfied"
"Female","Loyal Customer",36,"Business",3624,5,5,5,1,3,5,4,4,4,3,0,0,"satisfied"
"Male","Loyal Customer",44,"Eco",1306,2,1,1,2,2,2,2,3,1,1,7,1,"neutral or dissatisfied"
"Female","Loyal Customer",50,"Business",414,4,4,4,5,5,5,4,4,4,4,65,48,"satisfied"
"Female","Loyal Customer",7,"Eco",711,2,2,3,2,2,2,2,1,5,3,80,66,"neutral or dissatisfied"
"Female","Loyal Customer",26,"Business",2288,3,3,3,3,3,3,3,3,2,1,0,2,"neutral or dissatisfied"
"Female","Loyal Customer",51,"Business",3857,0,0,4,5,4,5,1,1,1,4,0,0,"satisfied"
"Male","Loyal Customer",45,"Business",3806,3,3,3,2,4,4,4,4,4,3,0,0,"satisfied"
"Female","disloyal Customer",22,"Eco",109,1,1,5,3,1,3,3,1,5,3,0,0,"neutral or dissatisfied"
"Male","disloyal Customer",24,"Eco",590,3,3,5,4,3,4,4,5,4,3,0,12,"neutral or dissatisfied"
"Male","Loyal Customer",32,"Eco",773,0,0,4,4,0,4,4,2,3,3,0,8,"satisfied"
"Female","Loyal Customer",47,"Business",2953,2,2,2,3,5,4,4,4,4,4,0,0,"satisfied"
"Male","Loyal Customer",53,"Eco",414,1,4,4,1,1,1,1,1,3,1,12,2,"neutral or dissatisfied"
"Male","Loyal Customer",28,"Business",2840,2,4,4,2,2,2,2,4,3,3,14,17,"neutral or dissatisfied"
"Male","Loyal Customer",62,"Eco",308,2,2,3,4,2,4,4,4,3,3,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",53,"Business",624,4,4,4,4,4,4,5,5,5,4,44,142,"satisfied"
"Female","Loyal Customer",38,"Business",3474,2,4,4,4,3,4,2,2,2,2,0,0,"neutral or dissatisfied"
"Male","disloyal Customer",21,"Eco",818,3,2,1,1,3,1,1,4,3,4,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",30,"Business",3142,3,3,3,4,4,5,4,5,5,3,0,0,"satisfied"
"Female","Loyal Customer",16,"Business",3072,1,1,1,4,4,5,4,4,5,3,0,0,"satisfied"
"Female","Loyal Customer",29,"Eco",680,2,2,4,5,2,5,5,5,5,5,1,0,"neutral or dissatisfied"
"Female","Loyal Customer",31,"Eco",106,3,1,1,3,2,3,3,1,2,3,0,4,"neutral or dissatisfied"
"Female","Loyal Customer",49,"Eco",817,3,3,4,4,2,4,3,3,3,4,2,0,"neutral or dissatisfied"
"Male","Loyal Customer",32,"Eco",483,4,4,4,2,4,2,2,2,3,3,35,28,"neutral or dissatisfied"
"Female","Loyal Customer",30,"Business",3560,5,5,5,4,4,4,4,4,4,5,0,0,"satisfied"
"Male","Loyal Customer",55,"Business",3530,5,5,5,2,5,5,4,4,4,3,0,0,"satisfied"
"Male","Loyal Customer",52,"Eco Plus",1436,2,4,4,2,2,2,2,2,3,4,12,0,"neutral or dissatisfied"
"Male","Loyal Customer",70,"Eco",1303,2,2,2,3,2,5,3,1,4,1,5,0,"neutral or dissatisfied"
"Male","Loyal Customer",48,"Business",2897,5,5,5,2,5,4,5,5,5,4,0,0,"satisfied"
"Male","Loyal Customer",25,"Eco Plus",533,5,1,1,5,5,4,5,2,3,2,3,0,"satisfied"
"Female","disloyal Customer",45,"Business",585,3,3,4,1,3,1,1,3,5,5,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",33,"Business",1863,1,1,1,5,5,5,5,3,5,5,4,0,"satisfied"
"Female","Loyal Customer",58,"Business",1979,5,5,5,2,3,5,5,5,5,3,51,45,"satisfied"
"Male","Loyal Customer",35,"Eco",1047,3,4,3,1,4,1,1,1,4,1,8,0,"neutral or dissatisfied"
"Female","disloyal Customer",44,"Business",2342,1,1,4,2,1,2,2,3,5,3,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",54,"Business",3630,2,2,2,5,4,5,4,4,4,5,5,0,"satisfied"
"Male","Loyal Customer",49,"Eco",353,3,3,3,4,3,4,4,4,4,2,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",46,"Business",1105,3,3,3,2,4,5,3,3,3,3,8,15,"satisfied"
"Male","Loyal Customer",57,"Business",1041,2,1,1,5,4,3,2,2,2,4,50,35,"neutral or dissatisfied"
"Female","Loyal Customer",42,"Business",3757,4,4,4,4,5,4,5,5,5,4,0,0,"satisfied"
"Male","Loyal Customer",41,"Eco",721,3,5,5,3,3,3,3,3,3,1,0,8,"satisfied"
"Female","disloyal Customer",26,"Eco",896,2,2,1,5,2,4,5,4,1,4,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",49,"Eco",1723,3,3,3,5,5,5,1,1,1,5,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",35,"Business",762,5,5,5,2,5,4,4,4,4,3,0,0,"satisfied"
"Female","disloyal Customer",16,"Eco Plus",838,3,3,4,2,3,2,2,2,3,2,1,0,"neutral or dissatisfied"
"Male","disloyal Customer",43,"Eco",645,2,2,4,4,2,1,4,4,4,4,21,13,"neutral or dissatisfied"
"Female","Loyal Customer",46,"Business",2749,2,1,1,2,4,4,2,2,2,2,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",22,"Business",2458,4,2,2,4,4,4,4,3,4,4,0,7,"neutral or dissatisfied"
"Female","Loyal Customer",61,"Eco",1448,2,2,3,5,4,5,3,3,2,2,5,0,"neutral or dissatisfied"
"Female","Loyal Customer",56,"Eco Plus",1334,5,1,1,4,1,2,5,5,5,4,11,21,"satisfied"
"Male","Loyal Customer",62,"Business",3517,4,4,4,5,5,5,3,4,5,5,172,171,"satisfied"
"Male","Loyal Customer",40,"Business",98,1,1,1,5,2,5,5,5,4,1,0,0,"satisfied"
"Female","Loyal Customer",67,"Eco",463,4,5,5,1,5,3,4,4,4,4,0,0,"satisfied"
"Male","disloyal Customer",20,"Eco",867,1,1,4,5,1,5,5,2,4,4,69,81,"neutral or dissatisfied"
"Female","Loyal Customer",49,"Eco Plus",2139,3,3,3,5,5,5,3,3,3,3,56,34,"neutral or dissatisfied"
"Male","Loyal Customer",56,"Eco",1325,3,3,2,1,3,1,1,3,3,4,1,0,"neutral or dissatisfied"
"Male","Loyal Customer",48,"Eco",363,2,5,3,1,5,1,1,5,4,5,8,0,"neutral or dissatisfied"
"Male","Loyal Customer",31,"Business",345,3,3,3,4,3,4,4,4,3,2,0,0,"neutral or dissatisfied"
"Female","disloyal Customer",22,"Eco",1027,5,5,2,4,5,4,4,4,1,3,22,19,"satisfied"
"Male","Loyal Customer",38,"Eco",1464,4,4,3,2,4,4,2,3,4,1,0,0,"satisfied"
"Male","Loyal Customer",46,"Business",1491,4,2,4,3,4,4,4,4,4,5,0,0,"satisfied"
"Male","Loyal Customer",45,"Business",1597,2,3,5,4,2,3,2,2,2,4,1,0,"neutral or dissatisfied"
"Female","Loyal Customer",68,"Business",225,0,0,3,3,2,3,1,1,1,2,0,0,"satisfied"
"Male","Loyal Customer",38,"Eco",591,4,4,3,5,4,2,5,3,3,3,1,0,"satisfied"
"Female","Loyal Customer",53,"Business",3529,1,2,2,4,3,3,1,1,1,2,9,11,"neutral or dissatisfied"
"Female","Loyal Customer",56,"Business",2917,3,3,3,4,3,3,4,2,5,3,0,0,"satisfied"
"Female","Loyal Customer",39,"Business",1009,1,1,1,3,3,3,1,1,1,2,0,0,"neutral or dissatisfied"
"Male","disloyal Customer",33,"Eco",433,1,1,1,1,1,1,1,5,5,3,0,2,"neutral or dissatisfied"
"Male","Loyal Customer",49,"Business",122,1,3,3,2,3,4,4,4,1,4,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",48,"Business",3881,5,5,5,5,4,5,5,5,5,4,33,38,"satisfied"
"Male","Loyal Customer",31,"Business",599,4,4,4,4,4,4,4,4,5,3,0,0,"satisfied"
"Male","disloyal Customer",26,"Eco",101,3,3,4,3,3,3,3,3,4,3,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",52,"Eco",438,4,4,3,4,4,5,5,5,1,3,0,23,"neutral or dissatisfied"
"Male","disloyal Customer",38,"Eco",1237,3,4,2,2,4,2,2,4,1,1,64,66,"neutral or dissatisfied"
"Female","Loyal Customer",60,"Eco",216,4,5,5,1,3,3,4,4,4,5,0,3,"satisfied"
"Male","Loyal Customer",41,"Business",3829,3,3,3,1,3,4,5,5,5,5,1,0,"satisfied"
"Female","disloyal Customer",37,"Eco",577,4,4,2,5,4,5,5,5,1,3,0,28,"neutral or dissatisfied"
"Male","Loyal Customer",61,"Eco",229,4,4,1,5,4,3,5,3,5,5,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",43,"Business",1500,2,2,2,1,3,4,4,4,4,5,18,2,"satisfied"
"Female","disloyal Customer",25,"Eco",1282,1,1,3,5,1,5,5,2,4,1,21,14,"neutral or dissatisfied"
"Female","disloyal Customer",43,"Business",577,2,2,5,3,2,3,3,4,4,3,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",26,"Business",550,3,3,3,5,5,5,5,5,4,4,66,60,"satisfied"
"Female","Loyal Customer",16,"Business",533,1,1,4,5,1,5,5,4,5,3,0,0,"neutral or dissatisfied"
"Male","disloyal Customer",27,"Eco",1201,1,1,3,2,1,2,2,4,5,5,82,56,"neutral or dissatisfied"
"Male","disloyal Customer",22,"Business",1011,4,4,1,1,4,1,1,4,5,3,4,0,"satisfied"
"Male","Loyal Customer",15,"Eco",925,4,2,2,4,4,4,4,1,4,5,3,0,"satisfied"
"Male","Loyal Customer",12,"Eco",861,1,1,2,4,1,2,4,4,4,4,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",47,"Business",67,5,5,5,3,1,1,4,4,5,1,0,0,"satisfied"
"Male","Loyal Customer",25,"Eco",834,3,3,3,2,3,2,2,4,4,2,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",9,"Eco",2724,3,4,4,4,4,2,4,5,4,2,1,0,"neutral or dissatisfied"
"Female","Loyal Customer",26,"Eco",391,5,5,2,3,5,3,3,4,5,3,0,0,"satisfied"
"Female","Loyal Customer",39,"Business",325,1,3,1,3,5,4,4,4,4,4,1,1,"satisfied"
"Male","Loyal Customer",52,"Business",2484,3,3,3,2,4,4,4,4,4,4,0,0,"satisfied"
"Male","disloyal Customer",30,"Business",710,5,5,3,5,5,4,3,3,5,4,24,0,"satisfied"
"Male","Loyal Customer",49,"Business",1972,1,1,1,4,4,4,5,5,4,4,46,36,"satisfied"
"Male","Loyal Customer",26,"Eco",925,3,3,2,4,3,4,4,4,4,4,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",30,"Business",110,0,0,4,4,4,4,4,3,1,5,0,3,"satisfied"
"Male","Loyal Customer",34,"Business",2106,1,1,1,4,5,4,4,4,4,1,6,0,"satisfied"
"Female","Loyal Customer",17,"Eco",666,3,3,3,2,3,2,2,2,3,1,1,7,"neutral or dissatisfied"
"Male","Loyal Customer",29,"Business",758,2,2,2,4,3,4,4,3,5,3,7,0,"satisfied"
"Female","Loyal Customer",42,"Eco",764,1,1,2,2,1,1,4,4,4,5,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",35,"Business",1084,3,1,1,1,2,2,3,3,3,1,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",16,"Eco",942,1,3,1,1,1,2,1,1,3,4,25,20,"neutral or dissatisfied"
"Male","Loyal Customer",54,"Business",3662,5,5,5,2,5,5,4,4,4,3,0,0,"satisfied"
"Male","disloyal Customer",37,"Business",296,3,3,2,4,3,4,4,5,5,4,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",62,"Eco",1428,1,1,1,5,5,2,4,4,4,5,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",59,"Eco",825,3,4,4,4,4,2,4,4,4,4,1,0,"neutral or dissatisfied"
"Female","Loyal Customer",62,"Eco",937,2,1,2,2,5,4,5,5,5,4,0,11,"neutral or dissatisfied"
"Female","disloyal Customer",62,"Eco",600,1,1,4,1,1,1,1,4,4,3,0,7,"neutral or dissatisfied"
"Male","Loyal Customer",70,"Eco Plus",763,3,3,5,1,3,1,1,4,4,4,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",25,"Business",3644,4,5,4,5,5,5,5,2,1,2,0,0,"satisfied"
"Male","disloyal Customer",25,"Business",308,1,1,3,3,1,3,3,3,5,4,4,0,"neutral or dissatisfied"
"Female","Loyal Customer",55,"Eco",296,4,4,2,4,5,5,2,2,2,4,0,8,"neutral or dissatisfied"
"Male","Loyal Customer",31,"Eco",192,4,4,3,3,4,3,3,4,4,2,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",20,"Eco",2161,4,4,4,1,4,1,1,5,4,5,0,0,"satisfied"
"Male","Loyal Customer",52,"Business",190,0,0,4,4,5,5,4,4,4,3,0,0,"satisfied"
"Male","disloyal Customer",24,"Business",1096,4,3,2,5,3,5,5,3,4,4,0,0,"satisfied"
"Female","Loyal Customer",53,"Business",2248,2,2,2,2,4,1,3,3,3,1,0,2,"satisfied"
"Male","Loyal Customer",36,"Business",3616,3,3,3,4,4,4,5,5,5,4,1,0,"satisfied"
"Male","Loyal Customer",15,"Eco",539,1,1,2,2,1,5,2,4,4,4,21,14,"neutral or dissatisfied"
"Female","Loyal Customer",59,"Business",3130,1,1,1,5,5,5,5,5,5,4,0,0,"satisfied"
"Female","disloyal Customer",49,"Business",663,5,5,2,4,5,4,4,4,5,4,0,3,"satisfied"
"Female","Loyal Customer",62,"Business",3699,2,2,2,4,2,3,5,5,5,2,0,0,"satisfied"
"Female","disloyal Customer",23,"Eco",148,2,2,4,4,2,4,4,2,3,4,15,23,"neutral or dissatisfied"
"Male","Loyal Customer",44,"Business",936,2,2,2,5,5,5,3,3,3,5,1,0,"satisfied"
"Female","Loyal Customer",48,"Eco",258,2,2,4,4,3,4,1,1,1,1,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",39,"Business",2865,1,5,5,2,4,3,1,1,1,1,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",36,"Eco Plus",448,3,3,3,3,3,3,3,4,5,3,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",57,"Business",3786,5,5,5,5,5,5,3,3,4,5,159,149,"satisfied"
"Female","Loyal Customer",70,"Eco",475,1,1,1,1,5,5,1,1,1,5,63,50,"neutral or dissatisfied"
"Male","Loyal Customer",27,"Eco Plus",328,0,0,3,3,0,3,3,5,2,2,0,0,"satisfied"
"Male","Loyal Customer",39,"Eco",1562,2,3,3,2,3,2,2,2,3,2,53,90,"neutral or dissatisfied"
"Female","Loyal Customer",23,"Eco Plus",843,3,4,4,3,3,3,3,2,3,4,3,5,"neutral or dissatisfied"
"Male","Loyal Customer",36,"Eco",569,5,3,3,5,5,5,5,1,3,1,0,0,"satisfied"
"Female","Loyal Customer",60,"Business",1440,3,3,3,3,4,4,4,4,4,5,0,0,"satisfied"
"Male","Loyal Customer",11,"Eco",782,1,1,3,3,1,3,3,5,4,3,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",64,"Eco Plus",163,3,3,4,5,4,5,4,4,5,5,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",52,"Business",2310,4,4,4,2,5,4,4,4,4,3,11,2,"satisfied"
"Female","Loyal Customer",51,"Eco",1235,3,3,3,2,3,3,3,3,3,4,14,6,"neutral or dissatisfied"
"Female","Loyal Customer",52,"Eco",612,3,3,3,5,3,3,3,3,3,1,29,43,"neutral or dissatisfied"
"Female","Loyal Customer",57,"Eco",321,2,2,4,4,4,3,2,2,2,2,6,9,"neutral or dissatisfied"
"Female","Loyal Customer",42,"Eco",393,4,4,4,1,4,3,4,4,4,4,11,1,"satisfied"
"Male","Loyal Customer",9,"Eco",895,1,1,2,2,1,2,2,5,4,4,98,95,"neutral or dissatisfied"
"Male","Loyal Customer",65,"Eco",990,3,4,4,3,4,3,3,1,4,1,6,0,"neutral or dissatisfied"
"Female","Loyal Customer",24,"Eco Plus",1476,2,3,5,2,2,1,2,1,1,3,83,63,"neutral or dissatisfied"
"Male","disloyal Customer",22,"Eco",819,2,2,5,4,2,4,4,5,5,5,117,113,"neutral or dissatisfied"
"Female","Loyal Customer",38,"Eco",925,4,2,2,4,4,4,4,3,1,4,2,0,"satisfied"
"Male","Loyal Customer",61,"Eco",301,2,2,2,1,2,1,1,5,4,2,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",8,"Eco Plus",1825,3,3,3,4,3,2,4,4,3,4,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",33,"Business",3212,1,1,1,5,5,5,5,3,5,4,2,46,"satisfied"
"Female","disloyal Customer",22,"Business",1068,4,4,4,3,4,3,3,3,4,4,0,0,"satisfied"
"Male","Loyal Customer",63,"Eco",1482,2,1,4,3,1,3,3,3,4,4,13,3,"neutral or dissatisfied"
"Female","Loyal Customer",47,"Business",675,3,2,2,4,3,3,3,3,3,1,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",26,"Eco",403,4,5,3,4,5,5,4,5,4,5,1,0,"neutral or dissatisfied"
"Male","Loyal Customer",34,"Business",3108,4,3,3,1,3,3,4,4,4,4,0,3,"neutral or dissatisfied"
"Male","Loyal Customer",55,"Business",3413,5,3,3,5,3,3,5,5,5,1,0,4,"neutral or dissatisfied"
"Male","Loyal Customer",26,"Business",456,3,3,3,4,4,4,4,5,4,4,0,0,"satisfied"
"Male","Loyal Customer",27,"Eco",230,4,4,3,4,4,4,4,1,4,2,20,13,"neutral or dissatisfied"
"Female","Loyal Customer",45,"Eco Plus",854,2,2,2,2,4,4,2,2,2,5,13,7,"neutral or dissatisfied"
"Male","Loyal Customer",45,"Business",3953,4,4,4,2,4,4,4,4,4,3,0,0,"satisfied"
"Female","disloyal Customer",20,"Eco",164,2,2,4,4,2,4,4,3,4,2,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",58,"Business",1660,4,4,4,2,4,4,4,4,4,4,44,16,"satisfied"
"Male","disloyal Customer",30,"Eco",479,3,3,1,4,3,1,4,5,4,5,41,24,"neutral or dissatisfied"
"Male","Loyal Customer",19,"Eco",236,3,0,3,1,0,1,1,2,4,2,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",62,"Eco",749,3,4,1,4,4,4,4,5,4,4,8,0,"neutral or dissatisfied"
"Male","disloyal Customer",20,"Business",1299,4,4,4,5,4,5,5,4,4,3,0,12,"satisfied"
"Female","disloyal Customer",24,"Eco",190,2,2,4,1,2,1,1,3,3,3,0,2,"neutral or dissatisfied"
"Female","Loyal Customer",30,"Eco Plus",266,2,0,4,4,0,4,4,5,4,5,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",36,"Business",867,4,4,4,5,5,5,5,5,5,4,3,0,"satisfied"
"Male","Loyal Customer",38,"Eco",239,4,1,1,4,5,4,4,3,2,5,0,0,"satisfied"
"Male","disloyal Customer",26,"Business",861,2,2,1,3,2,3,3,3,4,3,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",29,"Business",1197,4,4,4,4,4,4,4,4,4,5,2,0,"satisfied"
"Female","disloyal Customer",42,"Eco",404,4,4,5,2,4,3,2,4,1,5,10,4,"neutral or dissatisfied"
"Female","Loyal Customer",41,"Eco",250,1,1,3,3,1,3,3,4,3,2,45,32,"neutral or dissatisfied"
"Female","Loyal Customer",55,"Business",3140,3,3,3,3,4,5,5,5,5,5,0,0,"satisfied"
"Male","Loyal Customer",60,"Business",345,4,4,4,3,5,5,4,4,4,3,1,6,"satisfied"
"Male","Loyal Customer",39,"Business",3523,2,3,3,5,4,3,2,2,2,1,10,1,"neutral or dissatisfied"
"Male","Loyal Customer",31,"Eco",1020,4,4,4,4,4,4,4,2,4,4,14,0,"neutral or dissatisfied"
